a,b,c,d,,,,,,P11881
1n4k,2002,P11881,"INOSITOL 1,4,5-TRISPHOSPHATE RECEPTOR TYPE 1",,,,,,2749
5uk8,2017,P42336,"PHOSPHATIDYLINOSITOL 4,5-BISPHOSPHATE 3-KINASE",,,,,,P42336
5dxt,2016,P10844,"PHOSPHATIDYLINOSITOL 4,5-BISPHOSPHATE 3-KINASE",,,,,,1068
1i1e,2001,P00968,BOTULINUM NEUROTOXIN TYPE B,,,,,,P10844
1bxr,1999,B8LFD6,CARBAMOYL-PHOSPHATE SYNTHASE,,,,,,1291
3i3b,2010,P00722,BETA-GALACTOSIDASE,,,,,,P00968
3dyo,2008,Q24451,BETA-GALACTOSIDASE,,,,,,1073
3t0d,2012,Q82PP4,BETA-GALACTOSIDASE,,,,,,B8LFD6
3vdb,2012,Q56F26,BETA-GALACTOSIDASE,,,,,,1024
3t08,2012,P48736,BETA-GALACTOSIDASE,,,,,,P00722
1px4,2004,O60502,BETA-GALACTOSIDASE,,,,,,1024
3muz,2011,L0N7E5,BETA-GALACTOSIDASE,,,,,,Q24451
3t2q,2012,P15145,BETA-GALACTOSIDASE,,,,,,1108
3t09,2012,P15144,BETA-GALACTOSIDASE,,,,,,Q82PP4
3mv0,2011,O96935,BETA-GALACTOSIDASE,,,,,,1030
3vd9,2012,P14410,BETA-GALACTOSIDASE,,,,,,Q56F26
3t0b,2012,C1KBQ3,BETA-GALACTOSIDASE,,,,,,1032
3vd4,2012,Q0TST1,BETA-GALACTOSIDASE,,,,,,P48736
1ps3,2003,P04825,ALPHA-MANNOSIDASE II,,,,,,1102
3d52,2008,Q07075,ALPHA-MANNOSIDASE II,,,,,,O60502
3dx1,2009,P0AFG9,ALPHA-MANNOSIDASE II,,,,,,916
3d51,2008,P0AFG8,ALPHA-MANNOSIDASE II,,,,,,L0N7E5
3ddf,2008,P06958,ALPHA-MANNOSIDASE II,,,,,,913
3d50,2008,------,ALPHA-MANNOSIDASE II,,,,,,P15145
3d4z,2008,O76074,ALPHA-MANNOSIDASE II,,,,,,963
3d4y,2008,O43451,ALPHA-MANNOSIDASE II,,,,,,P15144
3ddg,2008,P22983,ALPHA-MANNOSIDASE II,,,,,,967
3dx3,2009,P10253,ALPHA-MANNOSIDASE II,,,,,,O96935
2f7p,2006,O75530,ALPHA-MANNOSIDASE II,,,,,,1085
3dx2,2009,I6L8R4,ALPHA-MANNOSIDASE II,,,,,,P14410
3dx4,2009,Q8AAK6,ALPHA-MANNOSIDASE II,,,,,,1827
2f7o,2006,P00489,ALPHA-MANNOSIDASE II,,,,,,C1KBQ3
3ejp,2009,O66264,ALPHA-MANNOSIDASE II,,,,,,3390
3ejq,2009,P48825,ALPHA-MANNOSIDASE II,,,,,,Q0TST1
3ejr,2009,B3PEE6,ALPHA-MANNOSIDASE II,,,,,,0
3w5n,2013,P56690,PUTATIVE RHAMNOSIDASE,,,,,,P04825
2x09,2010,B3Y653,EXO-BETA-D-GLUCOSAMINIDASE,,,,,,870
2vzr,2009,Q9NR97,EXO-BETA-D-GLUCOSAMINIDASE,,,,,,Q07075
5jhb,2017,P55072,"PHOSPHATIDYLINOSITOL-4,5-BISPHOSPHATE 3-KINASE",,,,,,957
5m7u,2017,F6BL85,PROTEIN O-GLCNACASE,,,,,,P0AFG9
5m7s,2017,P15917,PROTEIN O-GLCNACASE,,,,,,887
3w37,2013,P31434,ALPHA-GLUCOSIDASE,,,,,,P0AFG8
4ou3,2014,P27487,AMINOPEPTIDASE N,,,,,,887
4fys,2012,Q53TN1,AMINOPEPTIDASE N,,,,,,P06958
4k5p,2013,Q8TEQ6,M1 FAMILY AMINOPEPTIDASE,,,,,,0
4zw5,2016,P02928,M1 FAMILY AMINOPEPTIDASE,,,,,,O76074
4zw7,2016,Q8A0N1,M1 FAMILY AMINOPEPTIDASE,,,,,,875
4zw6,2016,Q04609,M1 FAMILY AMINOPEPTIDASE,,,,,,O43451
4zw8,2016,P71094,M1 FAMILY AMINOPEPTIDASE,,,,,,2753
6eed,2018,Q89ZI2,M1 FAMILY AMINOPEPTIDASE,,,,,,P22983
4r5t,2014,P19801,M1 FAMILY AMINOPEPTIDASE,,,,,,874
3q44,2011,P22411,M1 FAMILY AMINOPEPTIDASE,,,,,,P10253
3ebh,2009,Q9NY33,M1 FAMILY AMINOPEPTIDASE,,,,,,952
3t8v,2011,Q09161,M1 FAMILY AMINOPEPTIDASE,,,,,,O75530
3ebi,2009,O15294,M1 FAMILY AMINOPEPTIDASE,,,,,,441
4zx4,2016,Q9Y3Q0,M1 FAMILY AMINOPEPTIDASE,,,,,,I6L8R4
4zx3,2016,Q54727,M1 FAMILY AMINOPEPTIDASE,,,,,,0
3lpp,2010,P08473,SUCRASE-ISOMALTASE,,,,,,Q8AAK6
3p8z,2010,Q9L1K2,NON-STRUCTURAL PROTEIN 5,,,,,,864
2vc9,2008,P32477,ALPHA-N-ACETYLGLUCOSAMINIDASE,,,,,,P00489
2zxg,2009,Q5SHN5,AMINOPEPTIDASE N,,,,,,843
4kxb,2013,P26663,GLUTAMYL AMINOPEPTIDASE,,,,,,O66264
4kx8,2013,P23254,GLUTAMYL AMINOPEPTIDASE,,,,,,822
3lq2,2010,P32589,PYRUVATE DEHYDROGENASE E1 COMPONENT,,,,,,P48825
3lpl,2010,O32462,PYRUVATE DEHYDROGENASE E1 COMPONENT,,,,,,860
2qta,2007,Q07343,PYRUVATE DEHYDROGENASE E1 COMPONENT,,,,,,B3PEE6
1rp7,2004,G0SEG4,PYRUVATE DEHYDROGENASE E1 COMPONENT,,,,,,816
6d50,2018,P54818,"GLYCOSYL HYDROLASES FAMILY 2, SUGAR BINDING DOMAIN PROTEIN",,,,,,P56690
1uho,2004,C1CH75,"CGMP-SPECIFIC 3',5'-CYCLIC PHOSPHODIESTERASE",,,,,,1043
3l4w,2010,Q14397,MALTASE-GLUCOAMYLASE,,,,,,B3Y653
3ctt,2009,P43405,MALTASE-GLUCOAMYLASE,,,,,,1049
3l4z,2010,P09960,MALTASE-GLUCOAMYLASE,,,,,,Q9NR97
3l4v,2010,Q6IAT6,MALTASE-GLUCOAMYLASE,,,,,,1041
3l4x,2010,A0R618,MALTASE-GLUCOAMYLASE,,,,,,P55072
3l4y,2010,P12821,MALTASE-GLUCOAMYLASE,,,,,,806
