ID,length
0,2749
1,1068
2,1291
3,1073
4,1024
5,1024
6,1108
7,1030
8,1032
9,1102
10,916
11,913
12,963
13,967
14,1085
15,1827
16,3390
17,0
18,870
19,957
20,887
21,887
22,0
23,875
24,2753
25,874
26,952
27,441
28,0
29,864
30,843
31,822
32,860
33,816
34,1043
35,1049
36,1041
37,806
38,806
39,809
40,772
41,766
42,766
43,1508
44,0
45,755
46,750
47,738
48,737
49,751
50,766
51,737
52,790
53,1046
54,740
55,697
56,750
57,675
58,678
59,691
60,3010
61,680
62,693
63,659
64,736
65,1485
66,684
67,626
68,625
69,635
70,611
71,611
72,630
73,1306
74,627
75,622
76,164
77,593
78,638
79,615
80,625
81,630
82,603
83,635
84,602
85,647
86,592
87,710
88,1001
89,1001
90,1306
91,600
92,589
93,964
94,2458
95,579
96,586
97,609
98,3010
99,3010
100,850
101,614
102,3011
103,614
104,607
105,3010
106,594
107,571
108,563
109,872
110,531
111,1435
112,558
113,564
114,555
115,561
116,444
117,558
118,558
119,846
120,584
121,593
122,556
123,2710
124,555
125,2233
126,646
127,650
128,677
129,550
130,545
131,521
132,560
133,0
134,557
135,511
136,535
137,540
138,575
139,538
140,536
141,533
142,536
143,565
144,535
145,528
146,593
147,976
148,605
149,354
150,529
151,551
152,524
153,525
154,505
155,1687
156,1352
157,543
158,531
159,513
160,537
161,350
162,543
163,879
164,517
165,526
166,497
167,506
168,235
169,759
170,536
171,499
172,499
173,483
174,501
175,491
176,501
177,521
178,521
179,511
180,511
181,494
182,511
183,0
184,1212
185,509
186,483
187,300
188,491
189,526
190,489
191,615
192,582
193,519
194,0
195,189
196,449
197,507
198,493
199,525
200,128
201,483
202,482
203,475
204,794
205,490
206,504
207,504
208,454
209,511
210,1610
211,639
212,460
213,469
214,469
215,459
216,469
217,469
218,484
219,446
220,466
221,466
222,420
223,462
224,464
225,2939
226,457
227,476
228,444
229,0
230,457
231,558
232,1116
233,456
234,705
235,451
236,436
237,455
238,455
239,449
240,471
241,453
242,609
243,441
244,694
245,451
246,451
247,0
248,462
249,440
250,0
251,489
252,0
253,0
254,467
255,536
256,444
257,1312
258,888
259,441
260,456
261,377
262,440
263,0
264,416
265,438
266,434
267,473
268,513
269,433
270,1115
271,334
272,1362
273,548
274,433
275,433
276,1711
277,433
278,429
279,428
280,511
281,427
282,420
283,427
284,446
285,424
286,1537
287,459
288,418
289,952
290,423
291,418
292,413
293,741
294,419
295,421
296,466
297,417
298,417
299,419
300,438
301,419
302,419
303,419
304,419
305,412
306,416
307,1801
308,415
309,624
310,1084
311,367
312,0
313,642
314,313
315,270
316,424
317,654
318,407
319,436
320,406
321,464
322,406
323,400
324,438
325,429
326,385
327,445
328,400
329,411
330,422
331,412
332,655
333,0
334,0
335,268
336,452
337,397
338,417
339,396
340,476
341,365
342,358
343,341
344,362
345,362
346,373
347,411
348,398
349,641
350,432
351,393
352,410
353,857
354,470
355,0
356,389
357,377
358,470
359,368
360,386
361,441
362,398
363,387
364,822
365,386
366,410
367,449
368,364
369,380
370,384
371,360
372,360
373,359
374,402
375,382
376,390
377,1056
378,763
379,382
380,381
381,360
382,358
383,794
384,779
385,0
386,382
387,415
388,359
389,410
390,419
391,804
392,0
393,503
394,376
395,587
396,377
397,369
398,337
399,353
400,1390
401,1014
402,941
403,528
404,396
405,363
406,351
407,351
408,351
409,363
410,488
411,369
412,423
413,1102
414,639
415,609
416,583
417,0
418,366
419,1356
420,365
421,0
422,358
423,365
424,354
425,424
426,929
427,364
428,363
429,363
430,182
431,1011
432,983
433,356
434,417
435,930
436,390
437,337
438,0
439,359
440,377
441,350
442,533
443,337
444,798
445,372
446,651
447,435
448,393
449,857
450,1620
451,632
452,370
453,706
454,1210
455,352
456,332
457,349
458,942
459,391
460,397
461,351
462,351
463,351
464,349
465,350
466,342
467,356
468,0
469,341
470,375
471,463
472,463
473,369
474,367
475,0
476,335
477,350
478,7073
479,344
480,722
481,333
482,447
483,481
484,323
485,503
486,323
487,406
488,405
489,0
490,335
491,0
492,330
493,339
494,402
495,854
496,367
497,536
498,333
499,770
500,329
501,1321
502,913
503,329
504,976
505,624
506,314
507,335
508,334
509,1227
510,332
511,327
512,332
513,336
514,1239
515,0
516,453
517,331
518,332
519,415
520,382
521,354
522,354
523,327
524,740
525,1690
526,676
527,405
528,361
529,386
530,0
531,328
532,328
533,1124
534,314
535,1132
536,353
537,0
538,289
539,670
540,796
541,324
542,323
543,323
544,323
545,476
546,321
547,322
548,350
549,338
550,455
551,346
552,688
553,320
554,336
555,319
556,419
557,591
558,353
559,329
560,667
561,317
562,1187
563,903
564,335
565,317
566,1382
567,316
568,316
569,548
570,341
571,1154
572,315
573,315
574,314
575,315
576,556
577,477
578,298
579,305
580,484
581,312
582,340
583,327
584,311
585,303
586,499
587,311
588,310
589,329
590,332
591,0
592,298
593,309
594,307
595,332
596,0
597,419
598,419
599,309
600,0
601,326
602,285
603,0
604,481
605,307
606,307
607,416
608,1146
609,541
610,403
